Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
-148.37483591820705,-5.661268099808386e-18,14.060168010566207,-105.16481771128966,-88.28122614095332,-58.35758482026142
-148.37483591820705,-5.661268099808386e-18,14.060168010566207,-105.16481771128966,-88.28122614095332,-58.35758482026142
-148.01349896087498,7.800840250981057e-18,14.42669173653092,-105.5236350167435,-88.29296848667282,-57.99670608688823
-148.07606590257694,1.3464989197892616e-15,14.457990245737003,-105.55152760598568,-88.29225079410746,-58.05933519129331
-148.04721516742228,1.3464989197892616e-15,14.476523425324768,-105.57003743586704,-88.29303023334666,-58.03050330158842
-155.55255377945986,-16.717405488336308,50.03106595040279,-124.14165613647604,-88.1793807009813,-65.53939736567472
-154.78849391111214,-20.043032204101277,57.234265302591616,-128.04343843072883,-88.19058348819884,-64.77503624009812
-154.83225111031075,-20.103732446954538,57.36582300002869,-128.1129133941413,-88.18993313491151,-64.81881044186593
-154.789784459773,-20.26960879996827,57.728297043498635,-128.3108533140455,-88.19056423470484,-64.77632735000104
-156.5281237272995,-22.483754705829202,62.556491023749004,-130.8696065435494,-88.1655475321979,-66.51536578839195
-157.10338142096265,-20.123822014316715,57.370678818432765,-128.02526561324416,-88.15763957416662,-67.0908656006527
-157.14795339683704,-20.181099596296807,57.494762377415036,-128.09063619871392,-88.15703474675317,-67.13545630418623
-157.16730821556192,-20.09542614860238,57.307687919377635,-127.98861220230776,-88.15677246437167,-67.15481934267638
-162.23877382783084,-25.426810702849597,69.00173353411488,-134.18524956864024,-88.09536367639161,-72.22862865178419
-160.31968551447505,-32.44603972739648,85.28338511636532,-143.5111318897456,-88.11687072008301,-70.30861177708844
-160.26719960840194,-32.41010494152032,85.19849046744419,-143.4638979091607,-88.11748858093267,-70.25610130126796
-160.24778554537323,-32.46626247946996,85.33353879239117,-143.54342604578233,-88.11771765986043,-70.23667804803702
-158.2351326373315,-30.997659746364413,81.88710948540843,-141.6313069200542,-88.14262503376587,-68.2231071544819
-159.59297247784858,-26.651845918240493,71.8188479132871,-135.86462516475325,-88.12556751399457,-69.58156041476308
-159.54461467542973,-26.608484404056345,71.72149523333262,-135.81221597721932,-88.12615712860516,-69.533180066402
-159.56318317317405,-26.53955036445102,71.56489889144564,-135.72394631096742,-88.1259305973572,-69.55175711320959
-157.7091330725478,-24.75345487871277,67.57903818253088,-133.58446477899938,-88.14951354823127,-67.6968772115369
-157.1016020349431,-26.82624880759028,72.26387920705025,-136.2160952675569,-88.15766397955551,-67.08908513040933
-155.27481848872918,-24.94418602259048,68.05186656683344,-133.94449379929023,-88.18341552435777,-65.2615515999227
-154.41926944051752,-27.44419984781975,73.72395169922163,-137.14360282373457,-88.19611249584678,-64.40566961061803
-154.37226612876324,-27.396303218374953,73.61549005553036,-137.08451815045782,-88.1968220793558,-64.35864858538464
-154.34901781948494,-27.458759874344192,73.75857832661524,-137.1658797046218,-88.19717310027355,-64.33539115478264
-154.30203343610353,-27.410811788662627,73.6499846253662,-137.10671312969885,-88.1978838147671,-64.2883889055694
-154.27872154682396,-27.47317253000876,73.79287470500954,-137.18797566923806,-88.19823702333414,-64.26506819149176
-150.06041723104542,-22.36656511853776,62.41049067895741,-131.04240375117288,-88.26698337502516,-60.04531569312306
-149.04096503933812,-24.971215079052808,68.22538270394662,-134.28332555678242,-88.28502134474562,-59.02556129515043
-148.52242836935415,-24.269100316480973,66.66204349148762,-133.43758124697828,-88.29440497141573,-58.50687838611721
-148.49531345301446,-24.333167405214418,66.80569482848111,-133.51797331180447,-88.2948995103035,-58.47975607267523
-151.94229296697762,-28.474605668116418,76.13655573416118,-138.6029687818317,-88.23513043352641,-61.92779860330126
