x,y
0,379
0,375
17,375
17,373
18,373
18,177
55,177
55,176
57,176
57,137
28,137
28,136
27,136
27,27
136,27
136,28
137,28
137,67
68,67
68,68
67,68
67,107
97,107
97,146
135,146
135,147
136,147
136,148
137,148
137,242
176,242
176,254
177,254
177,177
215,177
215,176
216,176
216,146
334,146
334,147
335,147
335,148
336,148
336,163
374,163
374,176
375,176
375,137
414,137
414,136
415,136
415,97
306,97
306,95
305,95
305,57
335,57
335,55
336,55
336,27
494,27
494,29
495,29
495,107
465,107
465,108
464,108
464,186
426,186
426,187
425,187
425,216
534,216
534,67
613,67
613,68
614,68
614,107
733,107
733,177
705,177
705,176
703,176
703,146
625,146
625,147
624,147
624,148
623,148
623,186
585,186
585,187
584,187
584,266
653,266
653,267
654,267
654,345
732,345
732,346
733,346
733,441
772,441
772,454
773,454
773,415
792,419
